DEPT,GR,ILD,DPHI,SitID,Pick
255.25,81.154,2.549,0.272,113889,0
255.5,83.013,3.987,0.338,113889,0
255.75,87.63,7.074,0.34,113889,0
256.0,87.238,9.465,0.338,113889,0
256.25,78.323,10.954,0.339,113889,0
256.5,70.035,10.905,0.332,113889,0
256.75,65.881,9.657,0.326,113889,0
257.0,63.919,7.786,0.329,113889,0
257.25,59.139,10.476,0.33,113889,0
257.5,53.105,14.415,0.329,113889,0
257.75,49.517,17.453,0.333,113889,0
258.0,48.183,20.084,0.337,113889,0
258.25,49.73,25.346,0.334,113889,0
258.5,50.335,31.387,0.331,113889,0
258.75,50.07,38.873,0.331,113889,0
259.0,49.546,42.513,0.339,113889,0
259.25,49.907,44.276,0.347,113889,0
259.5,51.203,42.61,0.358,113889,0
259.75,53.813,38.749,0.359,113889,0
260.0,55.925,33.873,0.359,113889,0
260.25,57.6,29.894,0.361,113889,0
260.5,59.336,27.495,0.358,113889,0
260.75,58.692,25.194,0.358,113889,0
261.0,53.161,23.568,0.364,113889,0
261.25,48.754,22.636,0.371,113889,0
261.5,48.987,21.906,0.378,113889,0
261.75,52.039,20.686,0.378,113889,0
262.0,56.719,19.683,0.365,113889,0
262.25,57.388,19.597,0.362,113889,0
262.5,55.493,20.332,0.365,113889,0
262.75,55.85,21.333,0.361,113889,0
263.0,59.526,22.217,0.359,113889,0
263.25,62.454,21.55,0.362,113889,0
263.5,64.064,20.767,0.368,113889,0
263.75,64.296,19.246,0.369,113889,0
264.0,64.461,18.73,0.364,113889,0
264.25,66.264,18.024,0.366,113889,0
264.5,65.556,18.526,0.377,113889,0
264.75,62.092,20.15,0.381,113889,0
265.0,60.821,19.574,0.373,113889,0
265.25,63.741,18.551,0.365,113889,0
265.5,63.1,15.916,0.363,113889,0
265.75,58.697,16.299,0.362,113889,0
266.0,53.29,16.975,0.36,113889,0
266.25,49.89,17.248,0.356,113889,0
266.5,46.798,17.269,0.356,113889,0
266.75,47.535,17.254,0.358,113889,0
267.0,52.153,17.08,0.364,113889,0
267.25,55.517,16.784,0.369,113889,0
267.5,56.937,15.878,0.375,113889,0
267.75,59.426,15.333,0.376,113889,0
268.0,62.291,14.617,0.375,113889,0
268.25,63.023,14.387,0.371,113889,0
268.5,65.95,14.484,0.373,113889,0
268.75,65.113,14.888,0.375,113889,0
269.0,65.036,15.132,0.374,113889,0
269.25,62.449,15.149,0.369,113889,0
269.5,59.861,15.049,0.37,113889,0
269.75,59.53,14.868,0.37,113889,0
270.0,60.008,14.804,0.366,113889,0
270.25,57.55,14.734,0.366,113889,0
270.5,56.967,14.53,0.369,113889,0
270.75,58.138,14.409,0.374,113889,0
271.0,62.882,14.424,0.375,113889,0
271.25,64.051,14.198,0.375,113889,0
271.5,64.349,13.818,0.374,113889,0
271.75,62.327,13.808,0.372,113889,0
272.0,59.864,13.847,0.372,113889,0
272.25,58.089,13.941,0.372,113889,0
272.5,57.383,14.115,0.372,113889,0
272.75,59.558,14.347,0.372,113889,0
273.0,59.665,13.753,0.372,113889,0
273.25,59.894,13.086,0.372,113889,0
273.5,62.442,12.127,0.37,113889,0
273.75,63.995,11.408,0.368,113889,0
274.0,63.223,10.124,0.364,113889,0
274.25,61.889,8.736,0.36,113889,0
274.5,61.684,9.288,0.355,113889,0
274.75,60.285,10.234,0.363,113889,0
275.0,60.078,11.451,0.378,113889,0
275.25,62.063,12.382,0.382,113889,0
275.5,61.295,12.873,0.382,113889,0
275.75,58.013,13.179,0.381,113889,0
276.0,56.936,13.27,0.379,113889,0
276.25,56.793,13.284,0.379,113889,0
276.5,56.775,13.275,0.38,113889,0
276.75,56.939,13.089,0.381,113889,0
277.0,57.613,12.644,0.369,113889,0
277.25,59.472,12.165,0.358,113889,0
277.5,59.33,11.597,0.359,113889,0
277.75,58.122,12.056,0.377,113889,0
278.0,57.157,12.205,0.373,113889,0
278.25,56.957,12.174,0.371,113889,0
278.5,57.941,12.095,0.369,113889,0
278.75,58.736,11.839,0.367,113889,0
279.0,61.475,11.675,0.368,113889,0
279.25,65.091,11.405,0.369,113889,0
279.5,69.08,11.164,0.368,113889,0
279.75,69.375,10.986,0.364,113889,0
280.0,70.547,10.734,0.371,113889,0
280.25,73.413,10.505,0.381,113889,0
280.5,76.275,10.222,0.371,113889,0
280.75,74.437,9.948,0.358,113889,0
281.0,72.418,9.813,0.355,113889,0
281.25,71.772,9.841,0.351,113889,0
281.5,70.307,9.944,0.35,113889,0
281.75,69.229,10.127,0.353,113889,0
282.0,66.517,10.328,0.347,113889,0
282.25,68.94,11.007,0.34,113889,0
282.5,71.176,11.355,0.361,113889,0
282.75,74.73,11.669,0.371,113889,0
283.0,77.969,12.105,0.368,113889,0
283.25,79.393,12.489,0.372,113889,0
283.5,80.44,12.743,0.377,113889,0
283.75,82.614,12.682,0.378,113889,0
284.0,77.96,12.251,0.356,113889,0
284.25,70.735,11.332,0.326,113889,0
284.5,66.582,10.364,0.312,113889,0
284.75,62.993,9.64,0.313,113889,0
285.0,54.64,9.835,0.265,113889,0
285.25,48.859,12.646,0.136,113889,0
285.5,46.585,13.396,0.159,113889,0
285.75,49.073,13.137,0.286,113889,0
286.0,55.883,12.521,0.309,113889,0
286.25,59.118,11.051,0.319,113889,0
286.5,61.172,10.049,0.318,113889,0
286.75,63.03,9.743,0.318,113889,0
287.0,60.506,9.395,0.32,113889,0
287.25,63.492,8.789,0.315,113889,0
287.5,67.989,8.205,0.309,113889,0
287.75,75.238,7.133,0.303,113889,0
288.0,77.538,5.761,0.301,113889,0
288.25,75.702,5.113,0.305,113889,0
288.5,69.605,5.687,0.318,113889,0
288.75,64.701,6.695,0.329,113889,0
289.0,63.427,7.865,0.329,113889,0
289.25,60.84,8.832,0.334,113889,0
289.5,57.754,10.553,0.346,113889,0
289.75,58.3,12.143,0.351,113889,0
290.0,59.217,12.791,0.356,113889,0
290.25,58.325,12.95,0.355,113889,0
290.5,55.734,12.968,0.348,113889,0
290.75,54.152,12.906,0.345,113889,0
291.0,53.567,12.799,0.348,113889,0
291.25,54.742,12.574,0.353,113889,0
291.5,56.728,12.492,0.36,113889,0
291.75,62.035,12.531,0.356,113889,0
292.0,63.708,12.592,0.349,113889,0
292.25,58.051,12.396,0.343,113889,0
292.5,50.889,12.384,0.353,113889,0
292.75,47.362,12.443,0.368,113889,0
293.0,49.098,12.582,0.375,113889,0
293.25,52.273,12.639,0.364,113889,0
293.5,53.379,12.604,0.359,113889,0
293.75,53.55,12.618,0.357,113889,0
294.0,48.773,12.442,0.36,113889,0
294.25,48.314,12.317,0.359,113889,0
294.5,52.058,12.261,0.356,113889,0
294.75,53.853,12.276,0.355,113889,0
295.0,54.402,12.24,0.353,113889,0
295.25,51.498,12.184,0.351,113889,0
295.5,50.479,12.197,0.352,113889,0
295.75,50.337,12.303,0.36,113889,0
296.0,50.318,12.411,0.362,113889,0
296.25,49.797,12.755,0.333,113889,0
296.5,48.651,13.768,0.308,113889,0
296.75,47.693,15.031,0.251,113889,0
297.0,48.175,16.849,0.216,113889,0
297.25,47.281,18.599,0.178,113889,0
297.5,44.566,21.243,0.137,113889,0
297.75,41.355,24.036,0.067,113889,0
298.0,39.141,26.784,-0.025,113889,0
298.25,36.68,30.25,-0.04,113889,0
298.5,34.407,32.406,-0.043,113889,0
298.75,33.073,32.748,-0.043,113889,0
299.0,33.619,32.782,-0.027,113889,0
299.25,37.045,32.151,-0.012,113889,0
299.5,43.792,28.8,0.027,113889,0
299.75,48.285,23.702,0.128,113889,0
300.0,48.267,19.806,0.229,113889,0
300.25,51.064,15.669,0.322,113889,0
300.5,52.677,12.235,0.342,113889,0
300.75,52.974,12.019,0.354,113889,0
301.0,52.326,13.424,0.365,113889,0
301.25,53.938,14.351,0.371,113889,0
301.5,55.424,15.173,0.373,113889,0
301.75,53.397,15.452,0.373,113889,0
302.0,54.134,15.322,0.365,113889,0
302.25,58.062,14.801,0.355,113889,0
302.5,58.795,14.007,0.349,113889,0
302.75,52.7,13.576,0.35,113889,0
303.0,50.864,12.747,0.348,113889,0
303.25,50.156,12.062,0.344,113889,0
303.5,50.135,11.961,0.35,113889,0
303.75,50.181,12.114,0.351,113889,0
304.0,50.788,12.262,0.346,113889,0
304.25,51.962,12.252,0.342,113889,0
304.5,52.69,12.152,0.337,113889,0
304.75,52.552,12.144,0.337,113889,0
305.0,51.281,12.177,0.341,113889,0
305.25,51.885,12.308,0.335,113889,0
305.5,52.49,12.414,0.334,113889,0
305.75,53.286,12.497,0.334,113889,0
306.0,54.088,12.509,0.332,113889,0
306.25,56.198,12.547,0.33,113889,0
306.5,57.56,12.561,0.325,113889,0
306.75,59.669,12.481,0.333,113889,0
307.0,61.094,12.306,0.335,113889,0
307.25,61.513,11.932,0.343,113889,0
307.5,61.87,11.547,0.347,113889,0
307.75,61.726,11.175,0.34,113889,0
308.0,61.52,10.896,0.333,113889,0
308.25,58.743,10.704,0.337,113889,0
308.5,57.409,10.556,0.356,113889,0
308.75,58.459,10.648,0.365,113889,0
309.0,61.629,10.845,0.364,113889,0
309.25,65.563,10.938,0.356,113889,0
309.5,63.852,10.948,0.349,113889,0
309.75,62.205,11.065,0.351,113889,0
310.0,65.508,11.2,0.354,113889,0
310.25,66.864,11.195,0.356,113889,0
310.5,67.158,11.099,0.357,113889,0
310.75,66.389,10.944,0.359,113889,0
311.0,65.684,10.753,0.36,113889,0
311.25,66.162,10.745,0.364,113889,0
311.5,67.088,10.776,0.369,113889,0
311.75,67.632,10.709,0.365,113889,0
312.0,66.107,10.62,0.365,113889,0
312.25,64.338,10.512,0.366,113889,0
312.5,62.691,10.442,0.361,113889,0
312.75,60.604,10.435,0.342,113889,0
313.0,60.27,10.407,0.318,113889,0
313.25,61.631,10.301,0.312,113889,0
313.5,65.685,10.161,0.324,113889,0
313.75,66.796,10.115,0.335,113889,0
314.0,67.085,10.142,0.349,113889,0
314.25,66.196,10.154,0.359,113889,0
314.5,62.73,10.126,0.362,113889,0
314.75,62.398,10.06,0.363,113889,0
315.0,64.823,10.034,0.36,113889,0
315.25,67.562,9.97,0.355,113889,0
315.5,68.608,9.925,0.354,113889,0
315.75,72.725,9.808,0.356,113889,0
316.0,73.77,9.489,0.352,113889,0
316.25,76.949,9.287,0.352,113889,0
316.5,83.196,8.754,0.329,113889,0
316.75,92.011,7.566,0.303,113889,0
317.0,94.37,6.31,0.264,113889,0
317.25,94.793,5.334,0.228,113889,0
317.5,97.403,4.905,0.215,113889,0
317.75,95.633,4.336,0.231,113889,0
318.0,86.153,4.004,0.247,113889,0
318.25,83.817,3.377,0.258,113889,0
318.5,84.298,3.523,0.262,113889,0
318.75,90.043,3.475,0.252,113889,0
319.0,90.902,2.953,0.243,113889,0
319.25,96.962,2.711,0.238,113889,0
319.5,97.755,3.512,0.226,113889,0
319.75,93.292,4.245,0.231,113889,0
320.0,85.254,4.931,0.237,113889,0
320.25,81.599,5.75,0.235,113889,0
320.5,81.582,6.679,0.234,113889,0
320.75,78.871,8.011,0.241,113889,0
321.0,74.341,8.929,0.237,113889,0
321.25,75.513,9.35,0.253,113889,0
321.5,83.45,9.504,0.269,113889,0
321.75,88.256,9.248,0.265,113889,0
322.0,92.998,8.587,0.251,113889,0
322.25,92.98,7.796,0.243,113889,0
322.5,92.838,7.6,0.244,113889,0
322.75,91.063,7.768,0.246,113889,0
323.0,87.411,7.969,0.247,113889,0
323.25,87.768,7.785,0.243,113889,0
323.5,93.076,7.72,0.237,113889,0
323.75,91.367,7.802,0.231,113889,0
324.0,90.22,7.929,0.227,113889,0
324.25,91.267,8.229,0.236,113889,0
324.5,91.997,8.424,0.259,113889,0
324.75,91.981,8.386,0.258,113889,0
325.0,90.271,8.146,0.256,113889,0
325.25,89.125,8.499,0.243,113889,0
325.5,88.162,8.902,0.234,113889,0
325.75,88.143,9.501,0.235,113889,0
326.0,89.32,9.969,0.239,113889,0
326.25,94.376,10.7,0.239,113889,0
326.5,100.184,9.768,0.235,113889,0
326.75,96.971,8.933,0.239,113889,0
327.0,89.122,7.81,0.242,113889,0
327.25,76.007,7.907,0.254,113889,0
327.5,70.79,8.535,0.242,113889,0
327.75,67.637,9.011,0.228,113889,0
328.0,66.549,8.999,0.212,113889,0
328.25,71.046,11.251,0.05,113889,0
